Name,API Name,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand
C4 High-CPU Double Extra Large,c4.2xlarge,15,8,EBS only,51.96050223214286,0.398
C7GD Metal,c7gd.metal,128,64,3800 GB (2×1900 GB NVMe SSD),30.0,2.903
R7A Metal-48xl,r7a.metal-48xl,1536,192,EBS only,50.0,14.6064
R5N 24xlarge,r5n.24xlarge,768,96,EBS only,100.0,7.152
G5 Graphics and Machine Learning GPU 16xlarge,g5.16xlarge,256,64,1900 GB NVMe SSD,25.0,4.096
T3 Medium,t3.medium,4,2,EBS only,5.0,0.0416
C6IN Extra Large,c6in.xlarge,8,4,EBS only,30.0,0.2268
R6IN 32xlarge,r6in.32xlarge,1024,128,EBS only,200.0,11.1571
T4G Double Extra Large,t4g.2xlarge,32,8,EBS only,5.0,0.2688
Gr6 Graphics and Machine Learning GPU High RAM ratio Eight Extra Large,gr6.8xlarge,256,32,900 GB (2×450 GB NVMe SSD),25.0,2.4464
C6G Medium,c6g.medium,2,1,EBS only,10.0,0.034
T3A Large,t3a.large,8,2,EBS only,5.0,0.0752
T3A Micro,t3a.micro,1,2,EBS only,5.0,0.0094
R6GD 12xlarge,r6gd.12xlarge,384,48,2850 GB (2×1425 GB NVMe SSD),20.0,2.7648
M4 General Purpose Quadruple Extra Large,m4.4xlarge,64,16,EBS only,51.96050223214286,0.8
C5A Eight Extra Large,c5a.8xlarge,64,32,EBS only,10.0,1.232
D3 Eight Extra Large,d3.8xlarge,256,32,47520 GB (24×1980 GB NVMe HDD),25.0,3.9955
C5A Double Extra Large,c5a.2xlarge,16,8,EBS only,10.0,0.308
C6GD Extra Large,c6gd.xlarge,8,4,237 GB NVMe SSD,10.0,0.1536
R7GD Double Extra Large,r7gd.2xlarge,64,8,474 GB NVMe SSD,15.0,0.5443
R5DN Double Extra Large,r5dn.2xlarge,64,8,300 GB NVMe SSD,25.0,0.668
R7IZ Large,r7iz.large,16,2,EBS only,12.5,0.186
R7GD 16xlarge,r7gd.16xlarge,512,64,3800 GB (2×1900 GB NVMe SSD),30.0,4.3546
I3 High I/O Extra Large,i3.xlarge,30,4,950 GB NVMe SSD,10.0,0.312
M5ZN Double Extra Large,m5zn.2xlarge,32,8,EBS only,25.0,0.6607
M6IN Eight Extra Large,m6in.8xlarge,128,32,EBS only,50.0,2.2277
M6IN 24xlarge,m6in.24xlarge,384,96,EBS only,150.0,6.683
R5DN Metal,r5dn.metal,768,96,3600 GB (4×900 GB NVMe SSD),100.0,8.016
I4I 32xlarge,i4i.32xlarge,1024,128,30000 GB (8×3750 GB NVMe SSD),75.0,10.9824
C5AD 12xlarge,c5ad.12xlarge,96,48,1800 GB (2×900 GB NVMe SSD),12.0,2.064
R7IZ Metal-32xl,r7iz.metal-32xl,1024,128,EBS only,50.0,11.904
M5DN Metal,m5dn.metal,384,96,3600 GB (4×900 GB NVMe SSD),100.0,6.528
R6GD Eight Extra Large,r6gd.8xlarge,256,32,1900 GB NVMe SSD,12.0,1.8432
M5 General Purpose Metal,m5.metal,384,96,EBS only,25.0,4.608
C4 High-CPU Eight Extra Large,c4.8xlarge,60,36,EBS only,10.0,1.591
C7I 24xlarge,c7i.24xlarge,192,96,EBS only,37.5,4.284
M6IDN 16xlarge,m6idn.16xlarge,256,64,3800 GB (2×1900 GB NVMe SSD),100.0,5.0918
C5AD 16xlarge,c5ad.16xlarge,128,64,2400 GB (2×1200 GB NVMe SSD),20.0,2.752
U-9TB1 112xlarge,u-9tb1.112xlarge,9216,448,EBS only,100.0,81.9
M5N Extra Large,m5n.xlarge,16,4,EBS only,25.0,0.238
